Energy[GeV],Modification_Factor
100000.0000000000,1.00000000000000000000
432684.9370990094,0.98377943449766114270
765369.8741980188,0.96641826982949463609
1098054.8112970283,0.94849856104687946257
1430739.7483960376,0.93598924109367276358
1763424.6854950469,0.93221212461618707668
2096109.6225940564,0.92843500813870127875
2428794.5596930659,0.92465789166121559184
2761479.4967920752,0.91690689561646132599
3094164.4338910845,0.90493618000107234334
3426849.3709900938,0.89296546438568358273
3759534.3080891035,0.88099474877029471109
4092219.2451881128,0.86902403315490583946
4424904.1822871221,0.85705331753951696783
4757589.1193861319,0.84508260192412820722
5090274.0564851407,0.83474055150669379533
5422958.9935841504,0.82810798273415331394
5755643.9306831602,0.82147541396161261051
6088328.8677821690,0.81484284518907201811
6421013.8048811788,0.80821027641653142570
6753698.7419801876,0.80157770764399072227
7086383.6790791973,0.79494513887145012987
7419068.6161782071,0.78831257009890953746
7751753.5532772159,0.78168000132636894506
8084438.4903762257,0.77504743255382824163
8417123.4274752364,0.76841486378128764922
8749808.3645742442,0.76178229500874705682
9082493.3016732540,0.75514972623620635339
9415178.2387722638,0.74851715746366576099
9747863.1758712735,0.74330762649051274060
10080548.1129702814,0.74241088432014568088
10413233.0500692911,0.74151414214977873218
10745917.9871683009,0.74061739997941167246
11078602.9242673106,0.73972065780904472376
11411287.8613663204,0.73882391563867766404
11743972.7984653283,0.73792717346831060432
12076657.7355643380,0.73703043129794365562
12409342.6726633478,0.73613368912757648488
12742027.6097623575,0.73523694695720953618
13074712.5468613673,0.73434020478684247646
13407397.4839603752,0.73344346261647552776
13740082.4210593849,0.73254672044610846804
14072767.3581583947,0.73164997827574140832
14405452.2952574044,0.73075323610537445962
14738137.2323564142,0.72985649393500739990
15070822.1694554240,0.72895975176464034018
15403507.1065544318,0.72806300959427328046
15736192.0436534416,0.72716626742390633176
16068876.9807524513,0.72626952525353927204
16401561.9178514611,0.72537278308317221232
16734246.8549504708,0.72447604091280526362
17066931.7920494787,0.72357929874243820390
17399616.7291484885,0.72268255657207114417
17732301.6662474982,0.72178581440170408445
18064986.6033465080,0.72088907223133702473
18397671.5404455177,0.71999233006097007603
18730356.4775445275,0.71909558789060301631
19063041.4146435373,0.71819884572023606761
19395726.3517425470,0.71730210354986900789
19728411.2888415530,0.71828281931225546053
20061096.2259405628,0.71979014522597073444
20393781.1630395725,0.72129747113968611938
20726466.1001385823,0.72280479705340139329
21059151.0372375920,0.72431212296711666720
21391835.9743366018,0.72581944888083194112
21724520.9114356115,0.72732677479454721503
22057205.8485346213,0.72883410070826248894
22389890.7856336311,0.73034142662197787388
22722575.7227326408,0.73184875253569325881
23055260.6598316506,0.73335607844940853273
23387945.5969306566,0.73486340436312380664
23720630.5340296663,0.73637073027683908055
24053315.4711286761,0.73787805619055435447
24386000.4082276858,0.73938538210426962838
24718685.3453266956,0.74089270801798501331
25051370.2824257053,0.74240003393170028723
25384055.2195247151,0.74390735984541556114
25716740.1566237248,0.74541468575913083505
26049425.0937227346,0.74692201167284621999
26382110.0308217444,0.74842933758656149390
26714794.9679207504,0.74993666350027676781
27047479.9050197601,0.75144398941399215275
27380164.8421187699,0.75295131532770742666
27712849.7792177796,0.75445864124142270057
28045534.7163167894,0.75596596715513797449
28378219.6534157991,0.75747329306885324840
28710904.5905148089,0.75898061898256852231
29043589.5276138186,0.76048794489628390725
29376274.4647128284,0.76199527080999918116
29708959.4018118382,0.76350259672371456610
30041644.3389108479,0.76500992263742984001
30374329.2760098539,0.76651724855114511392
30707014.2131088637,0.76802457446486038783
31039699.1502078734,0.76953190037857566175
31372384.0873068832,0.77103922629229104668
31705069.0244058929,0.77254655220600632060
