Energy[GeV],Modification_Factor
55658384.4955345690,1.49185986678080806378
55991069.4326335788,1.34073948034316603461
56323754.3697325885,1.18961909390552444954
56656439.3068315983,1.03849870746788264242
56989124.2439306080,0.88737832103024105734
57321809.1810296178,0.73625793459259936125
57654494.1181286275,0.58513754815495766515
57987179.0552276373,0.47748014753293771539
58319863.9923266470,0.44363791643184619096
58652548.9294256568,0.40979568533075461101
58985233.8665246665,0.37595345422966303106
59317918.8036236763,0.34211122312857150662
59650603.7407226861,0.30826899202747992668
59983288.6778216958,0.27442676092638834673
60315973.6149207056,0.24058452982529682229
60648658.5520197079,0.20674229872420601950
60981343.4891187176,0.17290006762311446731
61314028.4262177274,0.13905783652202288736
61646713.3633167371,0.10521560542093133517
61979398.3004157469,0.07137337431983978298
62312083.2375147566,0.03753114321874822384
62644768.1746137664,0.01340782775900556043
62977453.1117127761,0.01225366032615499493
63310138.0488117859,0.01109949289330443116
63642822.9859107956,0.00994532546045386392
63975507.9230098054,0.00879115802760330016
64308192.8601088151,0.00763699059475273466
64640877.7972078249,0.00648282316190217003
64973562.7343068346,0.00532865572905160366
65306247.6714058444,0.00417448829620103989
65638932.6085048541,0.00302032086335047353
65971617.5456038639,0.00186615343049990911
66304302.4827028662,0.00071198599764937017
